,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
0,Midwest,1828,27.0,196135,119642.0,17.08,44.59,7264.0,0.61,4,"IL,IN,MO,OH"
1,Northeast,1828,123.0,642454,539661.0,55.96,146.05,5223.0,0.84,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
2,South,1828,97.0,309429,427012.0,26.95,70.34,3190.0,1.38,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
3,West,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
4,Midwest,1832,39.0,231990,173992.0,18.17,52.33,5948.0,0.75,4,"IL,IN,MO,OH"
5,Northeast,1832,130.0,773253,579940.0,60.57,174.43,5948.0,0.75,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
6,South,1832,108.0,278477,478980.0,21.81,62.82,2578.0,1.72,10,"AL,DE,GA,KY,LA,MD,MS,NC,TN,VA"
7,West,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
8,Midwest,1836,42.0,340680,214628.0,22.67,66.64,8111.0,0.63,5,"IL,IN,MI,MO,OH"
9,Northeast,1836,130.0,752914,662564.0,50.1,147.28,5792.0,0.88,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
10,South,1836,111.0,409172,568749.0,27.23,80.04,3686.0,1.39,11,"AL,AR,DE,GA,KY,LA,MD,MS,NC,TN,VA"
11,West,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
12,Midwest,1840,42.0,581196,342906.0,24.09,70.83,13838.0,0.59,5,"IL,IN,MI,MO,OH"
13,Northeast,1840,130.0,1189879,1070891.0,49.32,145.0,9153.0,0.9,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
14,South,1840,111.0,641619,911099.0,26.59,78.19,5780.0,1.42,11,"AL,AR,DE,GA,KY,LA,MD,MS,NC,TN,VA"
15,West,1840,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
16,Midwest,1844,56.0,689708,551766.0,25.51,70.15,12316.0,0.8,5,"IL,IN,MI,MO,OH"
17,Northeast,1844,112.0,1285296,1105355.0,47.54,130.73,11476.0,0.86,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
18,South,1844,98.0,732488,966884.0,27.09,74.5,7474.0,1.32,11,"AL,AR,DE,GA,KY,LA,MD,MS,NC,TN,VA"
19,West,1844,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
20,Midwest,1848,64.0,805094,636024.0,27.99,81.16,12580.0,0.79,7,"IL,IN,IA,MI,MO,OH,WI"
21,Northeast,1848,112.0,1296183,1114717.0,45.06,130.66,11573.0,0.86,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
22,South,1848,105.0,775502,1039173.0,26.96,78.18,7386.0,1.34,13,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
23,West,1848,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
24,Midwest,1852,71.0,943118,754494.0,29.85,88.36,13283.0,0.8,7,"IL,IN,IA,MI,MO,OH,WI"
25,Northeast,1852,110.0,1380399,1173339.0,43.69,129.32,12549.0,0.85,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
26,South,1852,103.0,758833,1100308.0,24.02,71.09,7367.0,1.45,13,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
27,West,1852,4.0,76810,43014.0,2.43,7.2,19202.0,0.56,1,CA
28,Midwest,1856,71.0,1305131,965797.0,32.21,95.35,18382.0,0.74,7,"IL,IN,IA,MI,MO,OH,WI"
29,Northeast,1856,110.0,1656453,1507372.0,40.88,121.01,15059.0,0.91,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
30,South,1856,103.0,979747,1410836.0,24.18,71.58,9512.0,1.44,13,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
31,West,1856,4.0,110255,55128.0,2.72,8.05,27564.0,0.5,1,CA
32,Midwest,1860,75.0,1680488,1159537.0,35.9,108.77,22407.0,0.69,8,"IL,IN,IA,MI,MN,MO,OH,WI"
33,Northeast,1860,110.0,1754812,1702168.0,37.49,113.58,15953.0,0.97,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
34,South,1860,103.0,1111443,1589363.0,23.74,71.94,10791.0,1.43,13,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
35,West,1860,7.0,134588,107670.0,2.87,8.71,19227.0,0.8,2,"CA,OR"
36,Midwest,1864,92.0,1715537,1595449.0,42.55,99.14,18647.0,0.93,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
37,Northeast,1864,105.0,1958889,1821767.0,48.58,113.2,18656.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
38,South,1864,26.0,216779,450900.0,5.38,12.53,8338.0,2.08,4,"DE,KY,MD,WV"
39,West,1864,10.0,140655,173006.0,3.49,8.13,14066.0,1.23,3,"CA,NV,OR"
40,Midwest,1868,95.0,2208629,1855248.0,38.6,113.47,23249.0,0.84,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
41,Northeast,1868,105.0,2219724,2042146.0,38.79,114.04,21140.0,0.92,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
42,South,1868,80.0,1152023,1555231.0,20.13,59.19,14400.0,1.35,11,"AL,AR,DE,GA,KY,LA,MD,NC,SC,TN,WV"
43,West,1868,11.0,142440,213660.0,2.49,7.32,12949.0,1.5,3,"CA,NV,OR"
44,Midwest,1872,118.0,2431150,2090789.0,37.56,137.49,20603.0,0.86,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
45,Northeast,1872,113.0,2079670,1996483.0,32.13,117.61,18404.0,0.96,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
46,South,1872,123.0,1830582,2178393.0,28.28,103.52,14883.0,1.19,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
47,West,1872,12.0,130581,212847.0,2.02,7.38,10882.0,1.63,3,"CA,NV,OR"
48,Midwest,1876,118.0,3168439,2693173.0,37.64,138.88,26851.0,0.85,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
49,Northeast,1876,113.0,2664809,2584865.0,31.65,116.8,23582.0,0.97,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
50,South,1876,123.0,2380055,2808465.0,28.27,104.32,19350.0,1.18,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
51,West,1876,12.0,205356,273123.0,2.44,9.0,17113.0,1.33,3,"CA,NV,OR"
52,Midwest,1880,118.0,3601181,2952968.0,39.06,144.13,30518.0,0.82,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
53,Northeast,1880,113.0,2964278,2816064.0,32.15,118.64,26233.0,0.95,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
54,South,1880,123.0,2378767,3068609.0,25.8,95.21,19340.0,1.29,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
55,West,1880,15.0,276955,373889.0,3.0,11.08,18464.0,1.35,4,"CA,CO,NV,OR"
56,Midwest,1884,134.0,4082169,3347379.0,40.58,162.71,30464.0,0.82,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
57,Northeast,1884,113.0,3079843,2833456.0,30.61,122.76,27255.0,0.92,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
58,South,1884,137.0,2569147,3442657.0,25.54,102.41,18753.0,1.34,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
59,West,1884,17.0,328986,427682.0,3.27,13.11,19352.0,1.3,4,"CA,CO,NV,OR"
60,Midwest,1888,134.0,4677654,3788900.0,41.07,164.7,34908.0,0.81,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
61,Northeast,1888,113.0,3444653,3203527.0,30.25,121.29,30484.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
62,South,1888,137.0,2849123,3903299.0,25.02,100.32,20797.0,1.37,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
63,West,1888,17.0,417416,484203.0,3.67,14.7,24554.0,1.16,4,"CA,CO,NV,OR"
64,Midwest,1892,152.0,4998758,4148969.0,41.42,183.91,32887.0,0.83,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
65,Northeast,1892,117.0,3547821,3193039.0,29.4,130.53,30323.0,0.9,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
66,South,1892,142.0,2900007,3857009.0,24.03,106.7,20423.0,1.33,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
67,West,1892,33.0,621441,894875.0,5.15,22.86,18832.0,1.44,8,"CA,CO,ID,MT,NV,OR,WA,WY"
68,Midwest,1896,152.0,5960562,4768450.0,42.76,191.15,39214.0,0.8,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
69,Northeast,1896,117.0,3886121,3652954.0,27.88,124.62,33215.0,0.94,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
70,South,1896,142.0,3220560,4412167.0,23.11,103.28,22680.0,1.37,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
71,West,1896,36.0,871431,1124146.0,6.25,27.95,24206.0,1.29,9,"CA,CO,ID,MT,NV,OR,UT,WA,WY"
72,Midwest,1900,152.0,6128802,4780466.0,43.79,195.72,40321.0,0.78,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
73,Northeast,1900,117.0,4028118,3665587.0,28.78,128.64,34428.0,0.91,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
74,South,1900,142.0,2876166,4458057.0,20.55,91.85,20255.0,1.55,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
75,West,1900,36.0,964343,1128281.0,6.89,30.8,26787.0,1.17,9,"CA,CO,ID,MT,NV,OR,UT,WA,WY"
76,Midwest,1904,160.0,5880061,4527647.0,43.48,206.94,36750.0,0.77,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
77,Northeast,1904,126.0,4231020,3596367.0,31.28,148.91,33580.0,0.85,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
78,South,1904,151.0,2321647,4295047.0,17.17,81.71,15375.0,1.85,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
79,West,1904,39.0,1092367,1103291.0,8.08,38.44,28009.0,1.01,9,"CA,CO,ID,MT,NV,OR,UT,WA,WY"
80,Midwest,1908,160.0,6388248,4918951.0,42.91,207.23,39927.0,0.77,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
81,Northeast,1908,126.0,4340766,3863282.0,29.15,140.81,34451.0,0.89,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
82,South,1908,158.0,2880073,4867323.0,19.34,93.43,18228.0,1.69,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
83,West,1908,39.0,1282086,1205161.0,8.61,41.59,32874.0,0.94,9,"CA,CO,ID,MT,NV,OR,UT,WA,WY"
84,Midwest,1912,167.0,6131709,4721416.0,40.76,216.42,36717.0,0.77,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
85,Northeast,1912,141.0,4275580,3976289.0,28.42,150.91,30323.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
86,South,1912,168.0,2803273,4765564.0,18.63,98.94,16686.0,1.7,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
87,West,1912,55.0,1833721,1558663.0,12.19,64.72,33340.0,0.85,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
88,Midwest,1916,167.0,8024283,5857727.0,43.29,229.86,48050.0,0.73,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
89,Northeast,1916,141.0,4621365,4944861.0,24.93,132.38,32776.0,1.07,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
90,South,1916,168.0,3288911,5854262.0,17.74,94.21,19577.0,1.78,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
91,West,1916,55.0,2602026,1925499.0,14.04,74.54,47310.0,0.74,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
92,Midwest,1920,167.0,11433816,8461024.0,42.72,226.84,68466.0,0.74,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
93,Northeast,1920,141.0,7629182,7095139.0,28.5,151.36,54108.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
94,South,1920,168.0,5114522,8490107.0,19.11,101.47,30444.0,1.66,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
95,West,1920,55.0,2587660,2768796.0,9.67,51.34,47048.0,1.07,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
96,Midwest,1924,167.0,12396579,9173468.0,42.6,226.23,74231.0,0.74,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
97,Northeast,1924,141.0,8694993,7738544.0,29.88,158.68,61667.0,0.89,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
98,South,1924,168.0,4907018,9225194.0,16.86,89.55,29208.0,1.88,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
99,West,1924,55.0,3098517,3005561.0,10.65,56.55,56337.0,0.97,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
100,Midwest,1928,167.0,14669324,11588766.0,39.85,211.63,87840.0,0.79,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
101,Northeast,1928,141.0,12066598,9773944.0,32.78,174.08,85579.0,0.81,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
102,South,1928,168.0,6214638,11621373.0,16.88,89.66,36992.0,1.87,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
103,West,1928,55.0,3856452,3817887.0,10.48,55.64,70117.0,0.99,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
104,Midwest,1932,161.0,15930421,12107120.0,40.07,212.8,98947.0,0.76,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
