FL,Florida,South,Confederate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7203,4.26,1037,28.70,Whig,3,7193,4.58,1443,22.19,Democrat,3,11191,3.77,1525,26.93,Democrat,3,13301,3.58,-3476,-13.33,Democrat-Breckenridge,,,,,,,3,NoPop,,NoPop,,Republican,4,33190,2.13,2336,30.28,Republican,4,46776,1.97,922,98.98,Republican,4,51618,1.94,-4310,-23.19,Democrat,4,59990,1.67,3738,26.85,Democrat,4,66500,1.71,-13028,-8.72,Republican,4,35471,3.07,25310,4.30,Democrat,4,46488,2.68,-21458,-5.81,Democrat,4,39649,3.16,-20918,-5.99,Democrat,5,38705,3.67,-18135,-7.83,Democrat,5,49360,3.12,-20450,-7.54,Democrat,6,50837,3.34,30537,5.57,Democrat,6,80734,2.59,41373,5.06,Democrat,6,145681,2.08,-45662,-6.62,Democrat,6,109154,3.01,-31450,-10.45,Democrat,6,253672,1.64,42404,9.81,Republican,7,276252,1.90,137137,3.82,Democrat,7,327365,1.84,170869,3.52,Democrat,7,485492,1.36,233176,2.82,Democrat,8,482592,1.50,196162,3.68,Democrat,8,577643,1.27,87708,8.38,Democrat,10,989337,1.18,99086,11.74,Republican,10,1124220,1.04,163478,7.14,Republican,10,1544176,0.83,46776,27.40,Republican,14,1854481,0.99,42599,43.15,Democrat,14,2187805,0.87,210010,9.07,Republican,17,2583283,0.95,1139642,2.16,Republican,17,3150631,0.82,166469,15.48,Democrat,17,3687026,0.74,627476,4.36,Republican,21,4180051,0.87,1281534,2.82,Republican,21,4302313,0.83,962184,3.72,Republican,25,5314392,0.91,-100612,-48.23,Republican,25,5303794,0.84,302334,14.80,Democrat,25,5963110,0.82,537,9121.05,Republican,27,7609810,0.81,380978,16.11,Republican,27,8390744,0.79,236450,27.87,Democrat,29,8474179,0.82,74309,93.64,Democrat,29,9420039,0.78,112911,65.25,Republican,29,11067456,0.77,-371686,-22.97,Republican
GA,Georgia,South,Confederate,6,NoPop,,NoPop,,Democratic-Republican,6,NoPop,,NoPop,,Democratic-Republican,8,NoPop,,NoPop,,Democratic-Republican,8,NoPop,,NoPop,,Democratic-Republican,8,NoPop,,Democratic-Republican,9,NoPop,,Democratic-Republican-Crawford,9,20004,2.09,18720,2.11,Democrat,11,20750,2.44,20750,2.35,Democrat,11,47259,1.24,-1703,-33.02,Whig-White,11,72322,1.30,8356,10.80,Whig,10,86247,1.18,2047,48.03,Democrat,10,92317,1.11,2747,36.11,Whig,10,62626,1.75,23856,4.47,Democrat,10,99020,1.42,14142,9.68,Democrat,10,106717,1.49,-9216,-16.76,Democrat-Breckenridge,,,,,,,9,159816,1.11,-45598,-3.84,Democrat,11,138906,1.40,-13806,-14.09,Democrat,11,180690,1.40,-79624,-3.15,Democrat,11,156556,1.76,-48384,-5.68,Democrat,12,143610,2.10,46064,6.54,Democrat,12,142936,2.38,-59994,-5.68,Republican,13,223126,1.58,81038,4.36,Democrat,13,162480,2.49,-34490,-11.75,Democrat,13,121410,3.35,-46920,-8.68,Democrat,13,130986,2.82,-59462,-6.21,Democrat,13,132504,3.02,-30995,-12.93,Democrat,14,121470,3.27,71102,5.58,Democrat,14,160681,3.04,107062,4.56,Democrat,14,148251,4.76,-66073,-10.68,Democrat,14,166577,4.61,-92900,-8.26,Democrat,14,229159,4.23,-30233,-32.10,Democrat,12,255590,3.51,214255,4.19,Democrat,12,293175,3.52,218422,4.72,Democrat,12,312551,3.61,218834,5.15,Democrat,12,328109,3.30,208307,5.20,Democrat,12,418764,2.63,169591,6.50,Democrat,12,655803,2.13,-257844,-5.41,Democrat,12,663480,2.11,-224442,-6.24,Democrat,12,733349,2.10,184166,8.35,Democrat,12,1139336,1.38,-94027,-16.76,Republican,12,1250266,1.31,-155439,-10.50,American Independent,12,1174772,1.48,591967,2.93,Republican,12,1467458,1.24,495666,3.67,Democrat,12,1597467,1.21,-236565,-8.16,Democrat,12,1776093,1.16,362094,5.71,Republican,12,1809672,1.13,366539,5.57,Republican,13,2321133,1.09,13714,183.99,Democrat,13,2299071,1.01,-26994,-86.18,Republican,13,2596804,0.98,303490,8.39,Republican,15,3301875,1.03,548105,6.22,Republican,15,3924486,0.93,-204636,-17.89,Republican,16,3900050,0.98,-304861,-12.59,Republican,16,4114732,0.99,211141,19.25,Republican,16,4997716,0.94,11779,399.88,Democrat
HI,Hawaii,West,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,184705,2.08,115,3343.82,Democrat,4,207271,2.53,119227,4.41,Democrat,4,236218,2.30,-49899,-10.91,Democrat,4,270274,2.14,67456,8.57,Republican,4,291301,2.08,7372,82.23,Democrat,4,303287,2.12,-5767,-111.53,Democrat,4,335846,2.05,37896,18.18,Republican,4,354461,1.92,-33739,-20.18,Democrat,4,372842,2.08,42488,18.27,Democrat,4,360120,1.99,91069,7.86,Democrat,4,367951,2.13,-67441,-11.62,Democrat,4,429013,2.12,-37517,-24.24,Democrat,4,453568,2.15,205305,4.76,Democrat,4,434697,2.21,185643,5.17,Democrat,4,428937,2.37,-138044,-7.36,Democrat,4,574469,2.05,169266,6.96,Democrat
ID,Idaho,West,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19407,4.20,-1921,-42.45,Populist,3,29621,3.16,-16821,-5.56,Democrat,3,57914,1.62,-2216,-42.39,Democrat,3,72578,1.17,29303,2.91,Republican,3,97293,0.95,16459,5.62,Republican,4,105754,1.07,1111,102.01,Democrat,4,134615,1.04,14686,9.51,Democrat,4,135624,1.49,42396,4.76,Republican,4,148295,1.48,15719,13.94,Republican,4,151541,1.83,44396,6.25,Republican,4,186625,1.60,38062,7.87,Democrat,4,199617,1.72,59427,5.79,Democrat,4,235168,1.60,21289,17.66,Democrat,4,208321,1.73,7262,49.77,Democrat,4,214816,1.71,5856,62.77,Democrat,4,276231,1.68,85626,5.43,Republican,4,272989,1.71,61111,7.65,Republican,4,300450,1.71,22744,22.54,Republican,4,292477,1.80,5363,97.93,Democrat,4,291183,1.87,76096,7.15,Republican,4,310379,1.86,118558,4.88,Republican,4,340932,1.78,-77602,-7.81,Republican,4,437431,1.47,180507,3.56,Republican,4,411144,1.68,189013,3.64,Republican,4,408968,1.67,106609,6.39,Republican,4,482114,1.61,-65632,-11.83,Republican,4,491719,1.46,-91152,-7.85,Republican,4,501621,1.56,198300,3.95,Republican,4,598447,1.52,228137,3.99,Republican,4,655122,1.49,-166572,-5.86,Republican,4,652274,1.47,-208124,-4.61,Republican,4,690255,1.47,219290,4.63,Republican,4,867884,1.36,-267098,-4.41,Republican
IL,Illinois,Midwest,Union,,,,,,,,,,,,,,,,,,,,,,,,,3,1443,1.37,Democratic-Republican,3,4671,1.24,split,3,14222,0.98,4898,2.69,Democrat,5,21481,1.07,7864,2.82,Democrat,5,33589,0.79,3149,8.12,Democrat,5,93175,0.46,-1867,-21.98,Democrat,9,109057,0.84,12941,6.84,Democrat,9,124596,0.74,-3099,-28.81,Democrat,11,154974,0.78,15645,7.51,Democrat,11,239334,0.65,9253,16.27,Democrat,11,339666,0.51,11956,14.21,Republican,16,348236,0.80,30788,8.99,Republican,16,449420,0.70,51188,6.08,Republican,21,429971,0.86,57052,6.51,Republican,21,554227,0.87,19621,24.42,Republican,21,622312,0.84,40716,12.89,Republican,22,672670,0.82,-25118,-21.97,Republican,22,747813,0.84,22124,28.24,Democrat,24,873647,0.75,26993,24.17,Democrat,24,1090869,0.69,141517,5.29,Republican,24,1131897,0.66,94924,7.92,Republican,27,1076499,0.71,305039,2.52,Republican,27,1155254,0.72,179122,4.65,Republican,29,1146173,0.72,18570,44.24,Democrat,29,2192707,0.46,-202320,-5.00,Republican,29,2094714,0.70,886085,1.65,Republican,29,2470067,0.64,876346,1.81,Republican,29,3107489,0.65,455324,4.41,Republican,29,3407926,0.64,449548,4.83,Democrat,29,3956522,0.63,712606,3.50,Democrat,29,4217935,0.65,102694,26.54,Democrat,28,4036061,0.63,140165,18.05,Democrat,28,3984046,0.65,33612,76.55,Democrat,27,4481058,0.70,443407,7.08,Republican,27,4407407,0.72,847645,3.72,Republican,27,4757409,0.73,8858,390.70,Democrat,26,4702841,0.73,890887,3.83,Democrat,26,4619749,0.77,134960,26.21,Republican,26,4723236,0.80,874707,4.30,Republican,26,4718833,0.83,-92974,-42.38,Republican,26,4749721,0.88,376636,11.10,Republican,24,4819088,0.86,620604,6.66,Republican,24,4559120,0.90,94999,43.01,Republican,22,5050157,0.85,719254,5.94,Democrat,22,4311391,0.91,754723,5.22,Democrat,22,4742123,0.91,-569605,-7.57,Democrat,21,5274322,0.91,-545604,-8.75,Democrat,21,5522371,0.93,1388169,3.69,Democrat,20,5242014,0.92,884296,5.43,Democrat,20,5536424,0.92,-944714,-5.38,Democrat,20,6033744,0.98,1025024,5.74,Democrat
IN,Indiana,Midwest,Union,,,,,,,,,,,,,,,,,,,3,NoPop,,NoPop,,Democratic-Republican,3,NoPop,,Democratic-Republican,5,15753,0.61,Democratic-Republican-Jackson,5,39210,0.59,5192,4.24,Democrat,9,47023,0.88,16079,2.48,Democrat,9,73759,0.65,-8803,-5.23,Whig-Harrison,9,116906,0.66,13698,5.39,Whig,12,140154,0.87,2314,50.99,Democrat,12,152752,0.80,-4838,-24.61,Democrat,13,183170,0.78,14439,9.61,Democrat,13,235431,0.78,24295,7.32,Democrat,13,272143,0.76,23524,8.54,Republican,13,280117,0.80,19657,11.44,Republican,13,343532,0.74,9572,26.43,Republican,15,351196,0.76,22515,11.78,Republican,15,438911,0.79,-5515,-62.05,Democrat,15,470672,0.80,6642,56.43,Republican,15,495332,0.76,6516,57.75,Democrat,15,536949,0.79,2348,181.44,Republican,15,553613,0.74,7125,57.22,Democrat,15,637119,0.73,18181,25.73,Republican,15,664094,0.71,26479,17.74,Republican,15,682185,0.62,93944,4.54,Republican,15,721126,0.64,10731,43.09,Republican,15,654474,0.65,119883,3.54,Democrat,15,718848,0.73,-6942,-75.43,Republican,15,1262964,0.60,185006,4.09,Republican,15,1272390,0.65,210797,3.90,Republican,15,1421314,0.73,285599,3.64,Republican,14,1576927,0.66,184870,5.67,Democrat,14,1650897,0.73,243404,4.94,Democrat,14,1782747,0.74,-25403,-51.79,Republican,13,1672091,0.70,-94488,-12.43,Republican,13,1656214,0.72,-13246,-90.18,Republican,13,1955325,0.77,334729,4.52,Republican,13,1974607,0.77,398903,3.81,Republican,13,2135360,0.78,222762,7.48,Republican,13,2091606,0.82,259730,6.57,Democrat,13,2123597,0.83,261226,6.77,Republican,13,2125529,0.88,696586,2.70,Republican,13,2220362,0.89,-169244,-11.64,Republican,13,2242033,0.93,411459,5.08,Republican,12,2233069,0.93,535749,3.86,Republican,12,2168621,0.94,437120,4.67,Republican,12,2305871,1.01,-140955,-16.52,Republican,12,2135842,1.01,-119269,-18.00,Republican,12,2199302,1.07,343856,6.84,Republican,11,2468002,1.01,510427,4.90,Republican,11,2751054,0.98,28391,94.57,Democrat,11,2624534,1.01,-267656,-9.86,Democrat,11,2734958,1.02,524160,5.33,Republican,11,3033112,1.07,-487103,-6.65,Republican
IA,Iowa,Midwest,Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22271,1.84,-1308,-30.34,Democrat,4,35364,1.24,1907,22.39,Democrat,4,92310,0.61,7505,7.30,Democrat,4,128739,0.49,14663,4.21,Republican,8,132947,1.04,34769,3.98,Republican,8,194439,0.81,46359,3.36,Republican,11,216365,0.90,49930,3.90,Republican,11,292878,0.86,59205,4.24,Republican,11,323498,0.85,78082,3.52,Republican,13,377201,0.86,-19773,-16.49,Republican,13,404135,0.91,31726,11.64,Democrat,13,443159,0.80,-23428,-15.08,Republican,13,521547,0.78,65552,6.18,Republican,13,530355,0.77,98543,4.13,Republican,13,486093,0.76,158882,2.32,Republican,13,494769,0.81,74438,5.38,Republican,13,492356,0.75,23506,15.67,Democrat,13,513942,0.88,-61740,-7.35,Republican,13,895082,0.73,406753,1.61,Republican,13,976960,0.73,265392,2.68,Republican,13,1009489,0.89,244259,3.69,Republican,11,1036687,0.79,183586,4.49,Democrat,11,1142733,0.83,133779,7.07,Democrat,11,1215430,0.85,-53570,-19.30,Republican,10,1052599,0.86,-47391,-19.07,Republican,10,1038264,0.89,28362,32.40,Democrat,10,1268773,0.92,357393,3.25,Republican,10,1234564,0.95,227329,5.14,Republican,10,1273810,1.01,171816,7.46,Republican,9,1184539,1.00,283882,4.16,Democrat,9,1167931,1.05,142407,8.60,Republican,8,1225944,0.94,210001,5.50,Republican,8,1279306,0.95,-12932,-93.75,Republican,8,1317661,0.98,167354,7.69,Republican,8,1319805,1.04,97468,14.14,Republican,8,1225614,1.11,-125202,-10.88,Democrat,7,1354607,1.00,81462,16.68,Democrat,7,1234075,1.02,127614,9.82,Democrat,7,1315563,1.04,-4144,-330.95,Democrat,7,1506908,1.06,10059,158.19,Republican,7,1537123,1.11,146561,11.66,Democrat,6,1582180,0.91,91927,15.66,Democrat,6,1566031,0.97,147314,10.35,Republican,6,1690871,1.04,-138611,-12.74,Republican
KS,Kansas,Midwest,Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21580,2.41,13253,3.92,Republican,3,43630,1.35,16427,3.55,Republican,5,100512,0.88,33835,2.61,Republican,5,124134,0.93,40422,2.82,Republican,5,201226,0.62,61748,2.02,Republican,9,265848,0.85,-64274,-3.51,Republican,9,331149,0.77,80159,3.19,Democrat,10,324905,0.84,-5870,-46.30,Populist,10,334547,0.93,-12330,-25.29,Democrat,10,353766,0.89,23354,13.41,Republican,10,328561,0.86,126781,2.24,Republican,10,375946,0.82,36007,8.56,Republican,10,365497,0.78,23453,12.08,Democrat,10,629813,0.55,36930,9.45,Democrat,10,570318,0.88,183804,2.74,Republican,10,662454,0.83,251352,2.18,Republican,10,713200,0.97,320669,2.16,Republican,9,791978,0.85,74706,9.02,Democrat,9,865014,0.89,66793,11.58,Democrat,9,860297,0.98,-124444,-6.80,Republican,8,733776,0.99,-154638,-4.67,Republican,8,788819,0.93,-71137,-10.33,Republican,8,896166,1.04,343006,2.71,Republican,8,866243,1.08,270561,3.45,Republican,8,928825,1.10,198261,5.17,Republican,7,857901,1.07,77449,11.87,Democrat,7,872783,1.09,175678,5.42,Republican,7,916095,1.10,349525,2.89,Republican,7,957845,1.11,-72331,-14.67,Republican,7,979795,1.15,240662,4.68,Republican,7,1021991,1.18,344147,3.50,Republican,7,993044,1.20,131413,9.07,Republican,6,1157256,1.01,-59517,-19.57,Republican,6,1074300,1.00,-195586,-5.49,Republican,6,1072218,1.10,223056,5.27,Republican,6,1187756,1.15,301463,4.52,Republican,6,1235872,1.18,-184890,-7.92,Republican,6,1159971,1.24,-251908,-5.71,Republican,6,1184402,1.29,244013,6.25,Republican,6,1372303,1.29,-201083,-8.78,Republican
KY,Kentucky,South,Border,8,5080,1.84,5080,1.84,Democratic-Republican,7,2733,4.76,2625,4.96,Democratic-Republican,12,8934,3.15,8068,3.48,Democratic-Republican,12,1864,6.19,1864,6.19,Democratic-Republican,12,4670,1.69,Democratic-Republican,14,23338,1.16,Democratic-Republican-Clay,14,70776,0.92,7840,7.85,Democrat,15,79741,0.87,-36249,-1.83,National Republican,15,70090,1.14,-3632,-21.11,Whig-Harrison,15,91104,1.40,25872,4.76,Whig,12,116865,1.04,-9261,-12.74,Whig,12,116865,1.05,17425,6.83,Whig,12,111643,1.18,-3934,-32.56,Whig,12,142058,1.19,7226,22.73,Democrat,12,146216,1.30,12915,14.36,Constitutional Union,11,92088,2.07,-36514,-5.21,Democrat,11,155455,1.39,-76323,-2.81,Democrat,12,191135,1.11,-11229,-18.90,Democrat,12,260626,1.06,-62492,-4.38,Democrat,12,267104,1.12,-42762,-7.01,Democrat,13,276481,1.18,34271,9.52,Democrat,13,344868,1.07,-28692,-12.87,Republican,13,340864,1.04,39999,8.83,Democrat,13,445928,0.91,277,1463.45,Republican,13,468265,0.87,-7994,-50.92,Democrat,13,435946,0.85,-11713,-31.54,Democrat,13,490719,0.82,-8381,-47.82,Democrat,13,452714,0.81,103974,3.54,Democrat,13,520078,0.87,28136,16.13,Democrat,13,918708,0.71,-4017,-163.12,Democrat,13,815332,0.87,24111,29.54,Republican,13,940604,0.96,176994,5.09,Republican,11,983063,0.84,185858,4.43,Democrat,11,926203,1.02,172242,5.49,Democrat,11,970063,1.07,146838,7.04,Democrat,11,867921,1.15,80141,12.40,Democrat,11,822658,1.23,125546,8.05,Democrat,10,993148,1.17,-700,-1661.34,Democrat,10,1053805,1.11,95739,12.20,Republican,10,1124462,1.14,80752,15.87,Republican,9,1046105,1.13,296682,3.98,Democrat,9,1055893,1.16,64870,18.88,Republican,9,1067499,1.22,305287,4.26,Republican,9,1167142,1.17,83865,16.26,Democrat,9,1294627,1.12,18857,76.75,Republican,9,1370461,1.13,283193,5.47,Republican,9,1322517,1.16,153913,9.96,Republican,8,1492900,1.04,47926,32.40,Democrat,8,1388708,1.03,13331,107.39,Democrat,8,1544187,1.02,233594,6.71,Republican,8,1795882,1.01,356706,5.10,Republican,8,1826620,1.07,-296477,-6.59,Republican,8,1797212,1.07,-407820,-4.71,Republican,8,1924149,1.06,574177,3.54,Republican,8,2136768,1.10,-554172,-4.25,Republican
LA,Louisiana,South,Confederate,,,,,,,,,,,,,3,NoPop,,NoPop,,Democratic-Republican,3,NoPop,,NoPop,,Democratic-Republican,3,NoPop,,Democratic-Republican,5,NoPop,,split,5,8687,2.68,523,42.05,Democrat,5,6337,3.64,1479,14.99,Democrat,5,7425,3.58,259,98.68,Democrat,5,18912,2.25,3680,11.15,Whig,6,26865,2.27,699,84.40,Democrat,6,33866,1.81,3108,19.15,Whig,6,35872,1.84,1392,46.01,Democrat,6,42873,1.97,1455,56.44,Democrat,6,50510,1.89,-2477,-37.42,Democrat-Breckenridge,7,Rejected,,Rejected,,,7,113488,1.21,-46962,-2.90,Democrat,8,128692,1.10,14634,9.67,Republican,8,145823,1.26,4807,37.97,Republican,8,104143,1.92,-26430,-7.56,Democrat,8,109399,1.83,16247,12.35,Democrat,8,115891,1.96,-54372,-4.18,Republican,8,114889,1.89,60963,3.57,Democrat,8,101046,2.47,-55138,-4.52,Democrat,8,67906,3.69,-39434,-6.35,Democrat,9,53908,4.74,-42503,-6.02,Democrat,9,75117,3.69,-54610,-5.08,Democrat,10,79248,3.58,51588,5.49,Democrat,10,92982,3.75,73409,4.76,Democrat,10,126396,3.99,-48981,-10.29,Democrat,10,121951,4.49,-68548,-7.99,Democrat,10,215833,3.21,-113495,-6.11,Democrat,10,268804,2.79,230565,3.25,Democrat,10,329778,2.61,256103,3.36,Democrat,10,372305,2.52,267305,3.52,Democrat,10,349383,2.59,213814,4.23,Democrat,10,416336,2.21,-67946,-13.52,Dixiecrat,10,651952,1.78,-38102,-30.52,Democrat,10,617544,1.89,85070,13.73,Republican,10,807891,1.59,176359,7.27,Democrat,10,896293,1.46,-122157,-10.75,Republican,10,1097450,1.24,-220685,-6.17,American Independent,10,1051491,1.37,388710,3.72,Republican,10,1278439,1.19,73919,20.50,Democrat,10,1548591,1.04,84400,19.05,Republican,10,1706822,1.01,385713,4.46,Republican,10,1628202,1.05,166242,10.24,Republican,9,1790017,0.98,82585,21.15,Democrat,9,1783959,0.90,215251,7.48,Democrat,9,1765656,1.00,135527,13.01,Republican,9,1943106,1.05,281870,7.26,Republican,9,1960761,1.12,-365286,-6.01,Republican,8,1994065,0.96,-343121,-5.59,Republican,8,2029032,1.00,398484,5.10,Republican,8,2148062,1.10,-399742,-5.89,Republican
