NH,New Hampshire,Northeast,Union,7,17474,0.47,702,11.68,Democratic-Republican,7,26878,0.48,-1292,-10.07,Federalist,8,36193,0.52,-4379,-4.28,Fusion,8,28563,0.27,1887,4.07,Democratic-Republican,8,9559,0.55,split,8,10032,1.54,Democratic-Republican-Adams,8,44035,0.84,-3611,-9.74,National Republican,7,43793,0.74,5917,5.24,Democrat,7,24925,1.49,12469,2.87,Democrat,7,59956,1.00,-6464,-8.89,Democrat,6,49187,1.24,9294,6.35,Democrat,6,50104,1.23,-12982,-4.58,Democrat,5,50535,1.09,13017,4.10,Democrat,5,69774,1.01,-5582,-12.26,Whig,5,65943,1.20,-11632,-6.64,Republican,5,69630,1.24,3562,24.29,Republican,5,68304,1.44,7143,13.62,Republican,5,68906,1.28,5743,15.40,Republican,5,80141,1.44,3030,37.65,Republican,5,86354,1.45,4058,30.78,Republican,4,84586,1.19,-4056,-24.74,Republican,4,90835,1.25,2272,50.00,Democrat,4,89329,1.22,-3577,-30.39,Republican,4,83670,1.49,35794,3.48,Republican,4,92364,1.36,19310,6.49,Republican,4,90161,1.26,20089,5.66,Republican,4,89600,1.38,19494,6.33,Republican,4,87961,1.29,1797,63.07,Democrat,4,89127,1.57,56,2493.49,Democrat,4,159092,1.27,32534,6.20,Republican,4,164769,1.33,41374,5.30,Republican,4,196757,1.41,34689,7.99,Republican,4,205520,1.46,-2949,-101.54,Republican,4,218114,1.58,3818,90.06,Democrat,4,235419,1.60,15165,24.79,Democrat,4,229625,1.57,9747,37.08,Democrat,4,231440,1.59,-13304,-27.63,Republican,4,272950,1.70,59624,7.80,Republican,4,266994,1.75,86155,5.42,Republican,4,295761,1.73,20217,25.36,Republican,4,286094,1.84,78036,6.73,Democrat,4,297298,1.83,24314,22.38,Republican,4,334055,1.73,97289,5.94,Republican,4,339618,1.78,-38300,-15.83,Republican,4,383999,1.67,112841,5.70,Republican,4,388954,1.77,146656,4.70,Republican,4,450525,1.51,117841,5.78,Republican,4,537215,1.45,6556,118.42,Democrat,4,499175,1.43,49682,14.41,Democrat,4,569081,1.38,7211,108.68,Republican,4,677738,1.34,-9274,-98.04,Democrat,4,710970,1.37,68292,14.30,Democrat,4,710972,1.35,39643,24.21,Democrat,4,744296,1.37,-2736,-371.39,Democrat,4,806182,1.46,59267,19.87,Democrat
NJ,New Jersey,Northeast,Union,8,13138,0.71,13100,0.72,Democratic-Republican,8,33357,0.45,3983,3.73,Democratic-Republican,8,NoPop,,NoPop,,Fusion,8,5495,1.40,5387,1.43,Democratic-Republican,8,4107,1.28,Democratic-Republican,8,19837,0.78,Democratic-Republican-Jackson,8,45570,0.82,-1944,-18.10,National Republican,8,47760,0.77,360,98.51,Democrat,8,51729,0.82,-545,-75.03,Whig-Harrison,8,64454,1.06,2317,28.33,Whig,7,75944,0.94,-823,-83.63,Whig,7,77735,0.92,3114,22.30,Whig,7,83220,0.92,5749,13.00,Democrat,7,99396,0.99,22828,4.20,Democrat,7,121215,0.92,-4523,-23.91,Republican,7,128744,0.94,-7296,-16.60,Democrat,7,163132,0.84,-2870,-47.47,Democrat,9,168112,0.95,15200,10.47,Republican,9,220193,0.94,-12445,-16.50,Democrat,9,245928,0.91,-2010,-111.87,Democrat,9,260921,0.87,4358,51.81,Democrat,9,303801,0.84,-7148,-35.76,Republican,10,337623,0.81,14965,18.16,Democrat,10,371211,0.84,87840,3.55,Republican,10,401050,0.78,56899,5.50,Republican,12,432547,0.79,80598,4.23,Republican,12,467111,0.79,82776,4.47,Republican,14,432739,0.92,32879,12.06,Democrat,14,494442,0.99,-57964,-8.43,Republican,14,903943,0.78,354654,1.99,Republican,14,1086079,0.71,377419,2.03,Republican,14,1548195,0.63,309123,3.14,Republican,16,1629507,0.74,30988,38.65,Democrat,16,1820437,0.76,364128,3.78,Democrat,16,1974214,0.76,71528,21.02,Democrat,16,1963761,0.74,26539,54.47,Democrat,16,1949555,0.75,-85669,-17.16,Republican,16,2419554,0.77,358711,5.19,Republican,16,2484312,0.75,756605,2.47,Republican,16,2773111,0.74,22091,92.84,Democrat,17,2846770,0.78,903828,2.47,Democrat,17,2875395,0.80,61261,37.76,Republican,17,2997229,0.82,743291,3.31,Republican,17,3014472,0.85,-65035,-39.61,Republican,17,2975684,0.92,399193,6.85,Republican,16,3217862,0.86,672307,4.10,Republican,16,3099553,0.88,422840,6.44,Republican,15,3343594,0.87,79341,36.70,Democrat,15,3075807,0.87,549251,4.89,Democrat,15,3187226,0.92,-504677,-5.82,Democrat,15,3611691,0.94,-241427,-14.12,Democrat,15,3868237,0.95,602215,6.08,Democrat,14,3640292,0.92,647533,5.19,Democrat,14,3874046,0.92,-546345,-6.51,Democrat,14,4549353,0.91,725061,5.68,Democrat
NM,New Mexico,West,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,49376,1.72,2704,31.43,Democrat,3,66787,1.57,2375,44.10,Democrat,3,105406,1.43,10966,13.79,Republican,3,112830,1.46,6203,26.50,Republican,3,118014,1.76,21434,9.70,Republican,3,151606,1.48,40872,5.49,Democrat,3,169176,1.52,44310,5.82,Democrat,3,183258,1.54,24384,11.56,Democrat,4,152225,2.37,10701,33.77,Democrat,4,187063,1.96,25161,14.61,Democrat,4,238608,1.95,26509,17.55,Republican,4,253926,1.84,40690,11.48,Republican,4,311107,1.65,2294,223.50,Democrat,4,327615,1.60,62179,8.45,Democrat,4,327281,1.66,39611,13.74,Republican,4,385931,1.50,94522,6.12,Republican,4,416590,1.46,-10271,-59.02,Republican,4,456237,1.41,82953,7.75,Republican,5,514370,1.67,105332,8.18,Republican,5,521287,1.63,25844,32.94,Republican,5,569986,1.70,48793,19.89,Democrat,5,556074,1.61,40744,21.96,Democrat,5,598605,1.64,-366,-2676.51,Democrat,5,756304,1.50,5988,189.81,Republican,5,830158,1.47,125590,9.72,Democrat,5,783758,1.53,79547,15.08,Democrat,5,798319,1.59,-65567,-19.37,Democrat,5,923965,1.59,99720,14.76,Democrat
NY,New York,Northeast,Union,19,NoPop,,NoPop,,Democratic-Republican,19,NoPop,,NoPop,,split,29,NoPop,,NoPop,,Fusion,29,NoPop,,NoPop,,Democratic-Republican,29,NoPop,,Democratic-Republican,36,NoPop,,split,36,270975,0.62,7849,20.17,Democrat,42,323393,0.60,13601,13.69,Democrat,42,305343,0.73,28247,7.60,Democrat,42,441543,0.81,13268,25.98,Whig,36,485882,0.75,5106,69.32,Democrat,36,455944,0.81,98086,3.64,Whig,35,522294,0.74,27201,13.74,Democrat,35,596486,0.83,-80126,-5.98,Whig,35,675156,0.82,50136,10.79,Republican,33,730721,0.78,6749,84.61,Republican,33,849771,0.76,-9995,-64.26,Democrat,35,828020,0.75,53456,11.58,Republican,35,1015503,0.79,-32742,-24.39,Democrat,35,1103945,0.79,21033,41.58,Republican,36,1167169,0.77,1149,786.04,Democrat,36,1319748,0.77,14373,71.14,Republican,36,1336793,0.73,45518,21.50,Democrat,36,1423876,0.79,268469,4.18,Republican,36,1548042,0.73,143551,7.85,Republican,39,1617770,0.68,175552,6.31,Republican,39,1638350,0.73,202602,5.93,Republican,45,1588315,0.80,200086,6.37,Democrat,45,1706305,0.92,-119812,-13.11,Republican,45,2898513,0.78,1089929,2.08,Republican,45,3263939,0.76,869262,2.84,Republican,45,4405626,0.71,103481,30.14,Republican,47,4688614,0.75,596996,5.89,Democrat,47,5596398,0.72,1112552,3.63,Democrat,47,6301596,0.70,224440,19.68,Democrat,47,6316790,0.67,316591,13.41,Democrat,47,6177337,0.70,-60959,-70.85,Republican,45,7128241,0.73,848214,6.17,Republican,45,7092860,0.74,1589571,3.31,Republican,45,7291079,0.79,383666,15.03,Democrat,43,7166015,0.79,2669597,2.11,Democrat,43,6790066,0.86,-370538,-15.79,Democrat,41,7161830,0.83,1241694,4.77,Republican,41,6525225,0.95,288767,21.52,Democrat,41,6201959,1.06,165459,39.85,Republican,36,6806810,0.91,545154,11.37,Republican,36,6485683,0.95,-266011,-23.04,Democrat,33,6926925,0.92,1097801,5.83,Democrat,33,6316129,0.93,1822685,3.24,Democrat,33,6821999,0.95,-1704323,-3.79,Democrat,31,7391036,0.95,-1351713,-5.21,Democrat,31,7640931,0.99,2052174,3.69,Democrat,29,7081159,0.98,1995310,3.49,Democrat,29,7721453,0.95,-1736590,-4.24,Democrat,29,8594826,0.99,1986187,4.30,Democrat
NC,North Carolina,South,Confederate,14,2178,7.53,130,126.15,Democratic-Republican,14,17283,1.51,1306,,split,15,NoPop,,NoPop,,Democratic-Republican,15,9707,1.49,9391,1.54,Democratic-Republican,15,3370,2.93,Democratic-Republican,15,36109,0.80,Democratic-Republican-Jackson,15,51747,1.35,23896,2.76,Democrat,15,29799,2.32,20723,3.21,Democrat,15,50153,1.59,3110,24.65,Democrat,15,80735,1.58,12399,9.93,Whig,11,82521,1.35,-3945,-27.42,Whig,11,79826,1.41,8282,13.18,Whig,10,78891,1.39,735,145.23,Democrat,10,84963,1.66,11523,11.88,Democrat,10,96712,1.64,-3717,-41.57,Democrat-Breckenridge,,,,,,,9,181498,0.98,12380,14.15,Republican,10,165163,1.07,24642,7.18,Republican,10,233911,0.98,-16943,-13.47,Democrat,10,241208,1.04,-8334,-29.98,Democrat,11,268356,1.03,17884,15.43,Democrat,11,285563,1.09,-13118,-23.82,Republican,11,280270,1.07,32605,9.17,Democrat,11,331337,1.04,-19286,-17.79,Democrat,11,292518,1.18,-24736,-13.93,Democrat,12,207818,1.64,-41649,-8.19,Democrat,12,252554,1.46,-22041,-16.78,Democrat,12,243776,1.39,75272,4.52,Democrat,12,289837,1.45,47493,8.82,Democrat,12,538741,1.12,-72599,-8.33,Democrat,12,482687,1.36,-92517,-7.11,Democrat,12,635150,1.31,62696,13.27,Republican,13,711501,1.37,289222,3.36,Democrat,13,839464,1.33,392858,2.84,Democrat,13,822648,1.49,395382,3.09,Democrat,14,790554,1.60,264244,4.79,Democrat,14,791209,1.63,200498,6.42,Democrat,14,1210910,1.34,-94696,-17.19,Democrat,14,1165592,1.40,-15468,-105.72,Democrat,14,1368556,1.31,57716,31.09,Democrat,13,1424983,1.20,175295,9.74,Democrat,13,1587493,1.11,131004,13.50,Republican,13,1518612,1.24,616184,3.05,Republican,13,1677906,1.17,185405,10.63,Democrat,13,1855833,1.13,39383,53.08,Republican,13,2175361,1.03,522194,4.29,Republican,13,2134370,1.04,347091,6.38,Republican,14,2611850,1.04,-20619,-131.79,Republican,14,2515807,1.00,-118089,-21.22,Republican,14,2911262,0.94,373471,7.34,Republican,15,3501007,0.97,435317,7.83,Republican,15,4310789,0.85,14177,258.25,Democrat,15,4505372,0.80,-92004,-39.12,Democrat,15,4741564,0.80,173315,21.99,Republican,15,5524804,0.80,-74483,-59.29,Republican
ND,North Dakota,Midwest,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,36118,2.26,-181,-450.50,Populist,3,47391,1.97,5649,16.56,Republican,3,84216,1.12,13141,7.15,Republican,4,70014,1.62,38322,2.97,Republican,4,94525,1.30,24795,4.97,Republican,5,86580,1.64,3829,37.00,Democrat,5,115390,1.51,1735,100.60,Democrat,5,205776,1.22,122650,2.05,Republican,5,199081,1.38,5009,54.70,Republican,5,239867,1.44,24793,13.98,Republican,4,256290,1.17,106578,2.81,Democrat,4,273716,1.26,90397,3.80,Democrat,4,280775,1.34,-30554,-12.30,Republican,4,220171,1.64,-18391,-19.65,Republican,4,220716,1.67,-19327,-19.02,Republican,4,270127,1.72,115018,4.04,Republican,4,253991,1.84,60024,7.78,Republican,4,278431,1.84,30347,16.90,Republican,4,258389,2.03,41577,12.63,Democrat,4,247882,2.20,43900,12.40,Republican,3,280514,1.55,73725,5.88,Republican,3,297094,1.53,-17392,-26.14,Republican,3,301545,1.60,114506,4.21,Republican,3,308971,1.67,95907,5.39,Republican,3,297261,1.72,38820,13.16,Republican,3,308133,1.89,-37076,-15.71,Republican,3,266411,2.02,-18145,-29.59,Republican,3,288256,2.04,79568,7.39,Republican,3,312833,2.18,85599,7.97,Republican,3,316621,2.31,-27323,-26.80,Republican,3,322627,2.23,-63336,-11.36,Republican,3,344360,2.21,123036,6.19,Republican,3,361819,2.44,-120693,-7.32,Republican
OH,Ohio,Midwest,Union,3,2957,1.19,2229,1.58,Democratic-Republican,3,5993,0.93,2471,2.26,Democratic-Republican,7,10721,1.53,4119,3.98,Democratic-Republican,8,3919,1.96,27333,0.28,Democratic-Republican,8,7198,0.73,Democratic-Republican,16,50024,0.62,Democratic-Republican-Clay,16,131049,0.57,4143,16.99,Democrat,21,158294,0.61,4707,19.78,Democrat,21,202333,0.55,-8720,-12.31,Whig-Harrison,21,273842,0.65,23375,7.37,Whig,23,312224,0.75,-6052,-37.37,Whig,23,328479,0.72,-16414,-13.90,Democrat,23,353188,0.71,16410,14.96,Democrat,23,386497,0.84,-16623,-18.94,Whig,23,432862,0.84,34388,10.33,Republican,21,471283,0.77,60065,6.05,Republican,21,518788,0.80,41546,9.84,Republican,22,529436,0.73,37531,10.37,Republican,22,658649,0.77,7516,66.78,Republican,22,724967,0.76,34227,16.06,Republican,23,784610,0.74,-31802,-18.14,Republican,23,840361,0.78,19599,33.33,Democrat,23,850164,0.74,-1072,-583.16,Republican,23,1014295,0.71,48494,14.79,Republican,23,1040073,0.69,69036,10.43,Republican,23,1004393,0.65,255421,2.56,Republican,23,1121552,0.63,69591,10.19,Republican,24,1037094,0.66,146666,4.64,Democrat,24,1165086,0.72,89408,9.37,Democrat,24,2021653,0.60,401985,3.01,Republican,24,2016237,0.65,698242,1.88,Republican,24,2508346,0.66,763336,2.18,Republican,26,2609728,0.75,74376,26.17,Democrat,26,3012589,0.74,619285,3.61,Democrat,26,3319912,0.74,146366,16.69,Democrat,25,3153056,0.72,-11530,-195.91,Republican,25,2936071,0.78,7107,323.24,Democrat,25,3700758,0.79,500024,5.81,Republican,25,3702265,0.79,822955,3.55,Republican,25,4161859,0.77,273363,11.72,Republican,26,3969196,0.86,1027466,3.32,Democrat,26,3959698,0.89,90428,39.12,Republican,25,4094787,0.88,882938,4.09,Republican,25,4111873,0.92,11116,340.83,Democrat,25,4283603,0.94,454131,8.85,Republican,23,4547619,0.87,853120,4.64,Republican,23,4393699,0.89,476920,8.21,Republican,21,4939964,0.83,90632,44.97,Democrat,21,4534434,0.83,288339,13.03,Democrat,21,4705457,0.87,165019,24.93,Republican,20,5627908,0.81,118601,38.33,Republican,20,5708350,0.86,262224,18.62,Democrat,18,5580847,0.77,166272,25.97,Democrat,18,5496487,0.83,446841,10.23,Republican,18,5922202,0.89,-475669,-11.14,Republican
OK,Oklahoma,South,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,256917,0.84,-11889,-18.15,Democrat,10,253801,1.12,28370,9.99,Democrat,10,292753,1.19,50880,6.86,Democrat,10,486610,1.04,26778,18.82,Republican,10,528415,1.04,-29556,-18.54,Democrat,10,618427,1.12,174872,3.96,Republican,11,704633,1.17,328303,2.51,Democrat,11,749740,1.26,255947,3.69,Democrat,11,826212,1.25,125441,8.24,Democrat,10,722636,1.25,82125,11.00,Democrat,10,721599,1.27,183965,4.99,Democrat,8,948984,0.98,87106,10.68,Republican,8,859350,1.09,88188,10.60,Republican,8,903150,1.14,162928,6.29,Republican,8,932499,1.13,107169,9.80,Democrat,8,943086,1.15,148039,7.35,Republican,8,1029900,1.12,511878,2.26,Republican,8,1092251,1.11,-13266,-91.39,Republican,8,1149708,1.12,293544,4.38,Republican,8,1255676,1.10,476450,2.89,Republican,8,1171036,1.16,194944,6.99,Republican,8,1390359,1.12,-119863,-12.95,Republican,8,1206713,1.19,-94210,-15.20,Republican,8,1234229,1.27,270061,5.80,Republican,7,1463758,1.09,455826,3.49,Republican,7,1462661,1.17,-457669,-3.73,Republican,7,1334872,1.26,-447778,-3.75,Republican,7,1452992,1.22,528761,3.36,Republican,7,1560699,1.32,-516390,-3.99,Republican
OR,Oregon,West,Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14761,3.23,270,171.67,Republican,3,18345,2.83,1431,36.28,Republican,3,22086,2.67,-164,-356.05,Democrat,3,20147,2.63,4076,13.01,Republican,3,29881,2.31,1057,64.75,Republican,3,40819,1.84,664,112.88,Republican,3,52682,1.43,-2256,-33.36,Republican,3,61853,1.38,6769,12.59,Democrat,4,78491,1.39,-8037,-13.53,Republican,4,97414,1.28,2040,61.14,Republican,4,83251,1.50,13362,9.37,Republican,4,90154,1.26,42934,2.65,Republican,4,110889,1.11,24481,5.04,Republican,5,137040,1.03,9464,14.97,Democrat,5,261650,0.67,-6726,-25.95,Republican,5,238522,1.06,63573,3.96,Republican,5,279488,0.98,74176,3.69,Republican,5,319942,1.08,96118,3.61,Republican,5,368808,1.01,77852,4.81,Democrat,5,414021,1.04,144027,2.98,Democrat,5,481240,0.98,38860,12.09,Democrat,6,480147,1.13,23270,23.30,Democrat,6,524080,1.05,-17757,-31.05,Republican,6,695059,1.00,150236,4.64,Republican,6,735597,0.95,77189,9.08,Republican,6,776421,0.99,40658,18.92,Republican,6,786305,1.00,218238,3.61,Democrat,6,819622,1.00,49567,16.47,Republican,6,927946,0.93,93926,9.23,Republican,6,1029876,0.88,-1713,-530.81,Republican,6,1181516,0.82,114154,8.45,Republican,7,1226527,0.98,149221,8.08,Republican,7,1201694,0.99,-56080,-21.25,Democrat,7,1462643,0.93,145557,9.33,Democrat,7,1377760,0.91,111489,11.24,Democrat,7,1533968,0.89,-6765,-202.73,Democrat,7,1836782,0.87,-76332,-20.85,Democrat,7,1827864,0.93,298816,5.72,Democrat,7,1789270,0.94,216313,7.76,Democrat,7,2001336,0.89,-219703,-8.09,Democrat,7,2374321,0.87,381935,5.40,Democrat
PA,Pennsylvania,Northeast,Union,20,23320,1.00,20842,1.12,Democratic-Republican,20,54253,0.69,30783,1.21,Democratic-Republican,25,79262,0.74,19988,2.93,Democratic-Republican,25,43346,0.55,8152,2.95,Democratic-Republican,24,32206,0.49,Democratic-Republican,28,47252,1.14,Democratic-Republican-Jackson,28,152220,0.85,50694,2.43,Democrat,30,158638,0.87,25260,5.26,Democrat,30,178692,0.89,4222,36.32,Democrat,30,288026,0.89,334,737.11,Whig,26,331572,0.80,6322,40.44,Democrat,26,368552,0.72,13337,19.34,Whig,27,387389,0.76,19458,14.81,Democrat,27,460161,0.83,83400,4.43,Democrat,27,476442,0.90,89159,4.68,Republican,26,573735,0.78,18849,23.87,Republican,26,655662,0.78,28898,17.51,Republican,29,563262,0.91,137548,3.73,Republican,29,758993,0.88,17980,36.80,Republican,29,874783,0.83,37276,19.44,Republican,30,903864,0.83,-86019,-8.75,Republican,30,997568,0.85,79458,10.72,Democrat,32,1003010,0.87,-63747,-13.64,Republican,32,1194355,0.84,295072,3.38,Republican,32,1173210,0.85,288433,3.47,Republican,34,1236738,0.78,502951,1.92,Republican,34,1267450,0.83,296997,3.53,Republican,38,1217736,0.88,-49257,-21.86,Progressive,38,1297189,1.02,-182039,-7.29,Republican,38,1852616,1.03,714373,2.68,Republican,38,2144850,0.97,992289,2.10,Republican,38,3150610,0.84,987796,2.67,Republican,36,2859177,0.94,-157592,-17.10,Republican,36,4138426,0.75,663787,4.66,Democrat,36,4078714,0.83,281187,12.03,Democrat,35,3794793,0.83,105425,30.00,Democrat,35,3735148,0.86,-149771,-21.47,Republican,32,4580969,0.81,269520,13.81,Republican,32,4576503,0.82,603483,6.19,Republican,32,5006541,0.82,116326,35.26,Democrat,29,4822690,0.79,1457297,2.61,Democrat,29,4747928,0.83,-169388,-23.29,Democrat,27,4592105,0.85,917570,4.25,Republican,27,4620787,0.89,123073,33.25,Democrat,27,4561501,0.95,324332,13.39,Republican,25,4844903,0.89,356192,12.09,Republican,25,4536251,0.94,105143,40.48,Republican,23,4959810,0.90,447323,9.98,Democrat,23,4506118,0.91,414650,9.93,Democrat,23,4913119,0.92,-204840,-22.00,Democrat,21,5769590,0.83,-144248,-33.09,Democrat,21,6013272,0.85,620478,8.26,Democrat,20,5753670,0.83,309840,15.49,Democrat,20,6165478,0.82,44292,114.71,Republican,20,6915283,0.85,80555,73.09,Democrat
RI,Rhode Island,Northeast,Union,4,1312,3.57,1312,3.57,Democratic-Republican,4,5764,1.29,-380,-19.57,Federalist,4,6116,1.53,-1948,-4.81,Fusion,4,1236,3.11,1236,3.11,Democratic-Republican,4,724,3.64,Democratic-Republican,4,2345,3.29,Democratic-Republican-Adams,4,3580,5.19,-1935,-9.09,National Republican,4,4936,3.73,-684,-25.92,National Republican,4,5674,3.74,254,80.50,Democrat,4,8621,3.96,1977,16.60,Whig,4,12296,3.31,-2455,-16.02,Whig,4,11155,3.67,3133,12.67,Whig,4,17005,2.58,1109,38.50,Democrat,4,19822,2.84,-4787,-11.44,Whig,4,19951,3.18,4537,13.62,Republican,4,23067,3.00,5631,12.29,Republican,4,19541,4.03,6445,12.08,Republican,4,18994,3.72,8336,8.49,Republican,4,26627,3.46,5075,17.98,Republican,4,29235,3.42,7416,13.48,Republican,4,32771,3.06,-6639,-15.12,Republican,4,40775,2.79,4439,25.59,Democrat,4,53196,2.04,-2639,-41.20,Republican,4,54785,2.28,22978,5.43,Republican,4,56548,2.22,13972,8.96,Republican,4,68656,1.66,16766,6.78,Republican,4,72317,1.71,19236,6.41,Republican,5,77894,1.82,2709,52.29,Democrat,5,87816,1.99,-4464,-39.10,Republican,5,167981,1.50,52401,4.81,Republican,5,210115,1.30,48680,5.63,Republican,5,237194,1.46,-1451,-238.86,Democrat,4,266170,1.13,31338,9.56,Democrat,4,311178,1.11,40207,8.55,Democrat,4,321148,1.17,43529,8.64,Democrat,4,299276,1.21,51869,6.97,Democrat,4,327702,1.12,52949,6.94,Democrat,4,414498,1.12,7642,60.87,Republican,4,387609,1.21,64029,7.30,Republican,4,405535,1.26,110530,4.64,Democrat,4,390091,1.35,240848,2.18,Democrat,4,385000,1.41,-124159,-4.38,Democrat,4,415808,1.39,25738,22.46,Republican,4,411170,1.47,46387,13.07,Democrat,4,416072,1.55,-43549,-14.77,Democrat,4,410492,1.68,14974,46.00,Republican,4,404620,1.68,-47362,-14.38,Democrat,4,453477,1.71,81698,9.50,Democrat,4,390284,1.83,128367,5.58,Democrat,4,409112,1.92,-118953,-6.59,Democrat,4,437134,2.08,-90719,-10.02,Democrat,4,471766,2.07,131180,7.44,Democrat,4,446049,2.15,122473,7.84,Democrat,4,464144,2.19,-71982,-14.12,Democrat,4,517757,2.27,107564,10.95,Democrat
