SC,South Carolina,South,Confederate,10,NoPop,,NoPop,,Democratic-Republican,10,NoPop,,NoPop,,Democratic-Republican,11,NoPop,,NoPop,,Democratic-Republican,11,NoPop,,NoPop,,Democratic-Republican,11,NoPop,,Democratic-Republican,11,NoPop,,Democratic-Republican-Jackson,11,NoPop,,NoPop,,Democrat,11,NoPop,,NoPop,,Nullifier,11,NoPop,,NoPop,,Whig-Mangum,11,NoPop,,NoPop,,Democrat,9,NoPop,,NoPop,,Democrat,9,NoPop,,NoPop,,Democrat,8,NoPop,,NoPop,,Democrat,8,NoPop,,NoPop,,Democrat,8,NoPop,,NoPop,,Democrat-Breckenridge,,,,,,,6,107538,1.10,17064,6.84,Republican,7,95452,1.30,49591,2.50,Republican,7,182683,0.88,889,179.64,Republican,7,170949,1.02,-54241,-3.22,Democrat,9,92812,2.43,48115,4.69,Democrat,9,79997,3.20,-52088,-4.91,Republican,9,70504,3.47,41335,5.92,Democrat,9,68938,4.07,-49488,-5.67,Democrat,9,50812,5.55,-43654,-6.46,Democrat,9,55118,4.64,-50009,-5.11,Democrat,9,66379,4.18,-58343,-4.76,Democrat,9,50350,5.06,47064,5.42,Democrat,9,63952,4.91,60296,5.21,Democrat,9,66808,6.79,-61560,-7.37,Democrat,9,50752,9.72,-47885,-10.30,Democrat,9,68605,9.09,-56842,-10.98,Democrat,8,104407,5.74,100369,5.97,Democrat,8,115437,5.96,112145,6.13,Democrat,8,99832,7.53,91110,8.25,Democrat,8,103375,6.99,82802,8.73,Democrat,8,142571,5.16,-68184,-10.78,Dixiecrat,8,341086,2.73,-4922,-189.02,Democrat,8,300583,3.11,-47863,-19.52,Democrat,8,386688,2.65,9571,107.14,Democrat,8,524756,2.00,-93348,-11.25,Republican,8,666982,1.63,38632,28.18,Republican,8,677880,1.71,289157,4.00,Republican,8,802594,1.51,104685,11.58,Democrat,8,890083,1.45,13647,94.26,Republican,8,968540,1.42,271069,5.08,Republican,8,986009,1.38,235889,5.77,Republican,8,1202527,1.29,-97993,-15.85,Republican,8,1149457,1.25,-69407,-20.63,Republican,8,1382717,1.13,220376,7.11,Republican,8,1617730,1.12,276275,6.58,Republican,8,1920969,1.02,-172447,-11.32,Republican,9,1964118,1.10,-205704,-10.50,Republican,9,2103027,1.09,300016,7.62,Republican,9,2513329,1.05,-293562,-9.03,Republican
SD,South Dakota,Midwest,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,70513,1.54,-8344,-13.03,Republican,4,82950,1.50,-183,-681.59,Democrat,4,96124,1.30,14986,8.36,Republican,4,101395,1.12,50114,2.27,Republican,4,114775,1.07,27270,4.52,Republican,5,116325,1.22,-9869,-14.35,Progressive,5,128942,1.35,-5026,-34.73,Republican,5,182237,1.38,74754,3.37,Republican,5,203868,1.34,25944,10.56,Republican,5,261865,1.32,54943,6.31,Republican,4,288438,1.04,84303,3.55,Democrat,4,296472,1.16,34160,10.07,Democrat,4,308427,1.22,-45703,-8.23,Republican,4,232076,1.56,-38654,-9.35,Republican,4,250105,1.47,-11998,-30.64,Republican,4,294283,1.58,113431,4.10,Republican,4,293857,1.59,49281,9.48,Republican,4,306487,1.67,50347,10.18,Republican,4,293118,1.79,32902,15.96,Democrat,4,281264,1.93,31818,17.10,Republican,4,307415,1.88,26531,21.79,Republican,4,300678,2.02,-4437,-136.62,Republican,4,327703,1.96,94488,6.81,Republican,3,317867,1.63,84154,6.14,Republican,3,312991,1.63,19855,25.72,Republican,3,336254,1.73,-11830,-49.22,Republican,3,323826,1.66,-11210,-47.89,Republican,3,316269,1.86,71896,8.18,Republican,3,388215,1.76,83340,8.18,Republican,3,381975,1.92,-32130,-22.79,Republican,3,363815,1.98,-65571,-10.98,Republican,3,370093,2.06,110263,6.91,Republican,3,422609,2.09,-110572,-7.99,Republican
TN,Tennessee,South,Confederate,5,778,7.53,778,7.53,Democratic-Republican,5,1027,9.05,1005,9.25,Democratic-Republican,8,NoPop,,NoPop,,Democratic-Republican,8,NoPop,,NoPop,,Democratic-Republican,8,1663,3.17,Democratic-Republican,11,20725,1.02,Democratic-Republican-Jackson,11,46533,1.10,42053,1.15,Democrat,15,29425,2.35,26731,2.49,Democrat,15,62197,1.28,-9857,-7.78,Whig-White,15,108145,1.18,12243,10.05,Whig,13,119957,1.10,-123,-1039.18,Whig,13,122463,1.09,6179,20.87,Whig,12,115486,1.14,-1686,-75.97,Whig,12,133582,1.26,5826,28.19,Democrat,12,146106,1.30,-4631,-40.03,Constitutional Union,10,Rejected,,Rejected,,,10,82757,2.38,30499,6.38,Republican,12,179046,1.19,-7736,-27.43,Democrat,12,222743,1.24,-43611,-6.28,Democrat,12,242828,1.23,-21514,-13.94,Democrat,12,259978,1.16,9669,31.14,Democrat,12,303694,1.12,-19721,-17.28,Republican,12,265732,1.23,35931,9.08,Democrat,12,320903,1.17,-18485,-20.24,Democrat,12,273860,1.37,-22132,-16.98,Democrat,12,242750,1.40,-26290,-12.97,Democrat,12,257180,1.44,-17631,-20.98,Democrat,12,251933,1.35,72546,4.69,Democrat,12,272190,1.54,37057,11.30,Democrat,12,428626,1.41,13271,45.58,Republican,12,300275,2.19,-27655,-23.78,Democrat,12,363473,2.29,28045,29.66,Republican,11,390256,2.11,132721,6.20,Democrat,11,476538,1.98,181563,5.21,Democrat,11,522823,1.98,182448,5.67,Democrat,12,510692,2.12,108396,10.00,Democrat,12,550283,2.00,67488,16.34,Democrat,11,892553,1.43,2437,524.92,Republican,11,939404,1.37,5781,222.25,Republican,11,1051792,1.34,75124,18.77,Republican,11,1143946,1.26,125982,11.46,Democrat,11,1248617,1.20,47800,31.31,Republican,10,1201182,1.20,455854,3.17,Republican,10,1476346,1.03,191910,7.90,Democrat,10,1617616,0.99,4710,341.40,Republican,11,1711993,1.11,278498,6.80,Republican,11,1636250,1.14,267439,7.00,Republican,11,1982638,1.08,92221,23.15,Democrat,11,1894105,1.04,45616,43.15,Democrat,11,2076181,1.04,80229,26.86,Republican,11,2437319,1.03,347898,7.19,Republican,11,2599749,1.03,-391741,-6.85,Republican,11,2458577,1.07,-501621,-5.26,Republican,11,2508027,1.11,652230,4.28,Republican,11,3053851,1.06,-708764,-4.57,Republican
TX,Texas,South,Confederate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15177,2.70,-6159,-6.44,Democrat,4,18547,2.37,8557,4.99,Democrat,4,46808,1.20,15530,3.53,Democrat,4,63004,1.01,-32110,-1.92,Democrat-Breckenridge,,,,,,,,,,,,,8,116594,1.21,-19078,-7.42,Democrat,8,149555,1.23,-59955,-3.04,Democrat,8,241726,0.83,-98535,-2.03,Democrat,13,325305,1.00,132168,2.47,Democrat,13,357513,1.03,-146461,-2.52,Republican,15,422145,0.97,139460,2.92,Democrat,15,544786,0.86,-202914,-2.31,Democrat,15,423706,1.11,-136791,-3.43,Democrat,18,234008,2.19,-115958,-4.41,Democrat,18,293757,1.89,-151636,-3.66,Democrat,20,305120,1.86,192736,2.94,Democrat,20,372467,1.87,221515,3.15,Democrat,20,486641,2.07,-174229,-5.79,Democrat,20,657509,1.67,-354582,-3.09,Democrat,20,708999,1.96,26004,53.31,Republican,23,863426,1.99,662389,2.60,Democrat,23,843482,2.34,630611,3.14,Democrat,23,1124531,1.92,697282,3.10,Democrat,23,1150331,1.81,630180,3.30,Democrat,23,1249577,1.69,520768,4.06,Democrat,24,2075946,1.34,133650,20.88,Republican,24,1955545,1.43,220661,12.70,Republican,24,2311084,1.33,46257,66.50,Democrat,25,2626811,1.25,704619,4.66,Democrat,25,3079406,1.10,-38960,-87.31,Democrat,26,3472714,1.08,1144605,3.28,Republican,26,4071884,0.97,129019,30.54,Democrat,26,4541637,0.92,629558,6.64,Republican,29,5397571,0.93,1484152,3.37,Republican,29,5427410,0.91,684081,7.22,Republican,32,6154018,1.01,-214256,-28.99,Republican,32,5611644,1.02,-276484,-20.71,Republican,32,6407637,0.98,1365893,4.59,Republican,34,7410765,1.04,1694213,4.56,Republican,34,8077795,1.03,-950695,-8.73,Republican,38,7993851,1.14,-1261719,-7.23,Republican,38,8969226,1.08,807179,11.96,Republican,38,11315056,0.99,-631221,-17.72,Republican
UT,Utah,West,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,78119,1.20,-51116,-1.83,Democrat,3,93189,1.01,2133,44.04,Republican,3,101672,0.84,29033,2.94,Republican,3,108613,0.85,18427,5.02,Republican,4,112386,1.01,-5521,-20.53,Republican,4,143146,0.98,30008,4.65,Democrat,4,145828,1.38,24916,8.09,Republican,4,156990,1.40,30326,7.23,Republican,4,176603,1.57,13633,20.34,Republican,4,206578,1.45,31955,9.37,Democrat,4,216677,1.59,85691,4.01,Democrat,4,247819,1.52,61126,6.15,Democrat,4,248319,1.46,52197,6.92,Democrat,4,276305,1.33,24749,14.85,Democrat,4,329554,1.41,58826,7.91,Republican,4,333995,1.40,97267,4.80,Republican,4,374709,1.37,36113,14.20,Republican,4,400310,1.31,38946,13.49,Democrat,4,422568,1.29,82063,6.63,Republican,4,478476,1.21,197359,2.93,Republican,4,541198,1.12,-155798,-3.89,Republican,4,604222,1.06,315421,2.04,Republican,5,629656,1.37,313736,2.74,Republican,5,647008,1.32,221099,3.85,Republican,5,743998,1.30,-119232,-8.14,Republican,5,665629,1.34,-140278,-6.38,Republican,5,770754,1.27,312043,3.14,Republican,5,927844,1.22,422543,2.69,Republican,5,952370,1.28,-268360,-4.55,Republican,6,1017440,1.41,-488787,-2.95,Republican,6,1131430,1.35,204555,7.45,Republican,6,1488289,1.19,-304858,-5.79,Republican
VT,Vermont,Northeast,Union,6,NoPop,,NoPop,,Democratic-Republican,6,NoPop,,NoPop,,Democratic-Republican,8,NoPop,,NoPop,,Democratic-Republican,8,NoPop,,NoPop,,Democratic-Republican,7,NoPop,,Democratic-Republican,7,NoPop,,Democratic-Republican-Adams,7,32833,0.99,-16013,-1.92,National Republican,7,32128,1.00,-5236,-5.93,Anti-Masonic,7,35031,1.06,-6957,-5.14,Whig-Harrison,7,50773,1.18,14436,3.98,Whig,6,48829,1.25,-8731,-6.76,Whig,6,47922,1.28,9295,6.40,Whig,5,43890,1.25,-9129,-5.85,Whig,5,50748,1.39,-28984,-2.36,Whig,5,44566,1.78,25159,3.07,Republican,5,55750,1.55,29098,2.97,Republican,5,56212,1.75,32122,3.03,Republican,5,52980,1.67,30554,2.89,Republican,5,64553,1.78,23837,4.79,Republican,5,65203,1.92,27251,4.58,Republican,4,59401,1.69,-22183,-4.52,Republican,4,65452,1.74,28404,4.00,Democrat,4,55796,1.95,-21667,-5.02,Republican,4,63847,1.95,40487,3.08,Republican,4,56212,2.23,29720,4.21,Republican,4,51888,2.19,30682,3.70,Republican,4,52680,2.34,28056,4.40,Republican,4,62841,1.80,-1200,-94.44,Republican,4,64475,2.17,-17542,-7.96,Republican,4,89961,2.24,47293,4.26,Republican,4,102917,2.13,64374,3.40,Republican,4,135191,2.05,45964,6.03,Republican,3,136980,1.64,-22718,-9.89,Republican,3,143689,1.79,-18899,-13.65,Republican,3,143062,1.97,-14102,-19.99,Republican,3,125361,2.16,-17707,-15.31,Republican,3,123382,2.23,-30369,-9.08,Republican,3,153557,2.27,66362,5.26,Republican,3,152978,2.29,67841,5.17,Republican,3,167324,2.30,28945,13.29,Republican,3,163089,2.42,53185,7.41,Democrat,3,161404,2.53,14887,27.42,Republican,3,186947,2.32,48975,8.85,Republican,3,187855,2.42,-21041,-21.61,Republican,3,213207,2.26,12707,37.96,Republican,3,234561,2.20,40135,12.87,Republican,3,243333,2.10,8556,59.70,Republican,3,289701,2.01,45470,12.81,Democrat,3,258449,2.08,57542,9.33,Democrat,3,294308,2.00,-29247,-20.10,Democrat,3,312309,2.18,-62887,-10.84,Democrat,3,325046,2.25,120288,6.09,Democrat,3,299290,2.41,106541,6.76,Democrat,3,315067,2.42,-83204,-9.16,Democrat,3,367428,2.40,130116,6.79,Democrat
VA,Virginia,South,Confederate,24,13001,2.16,12851,2.19,Democratic-Republican,24,19949,2.24,12178,3.66,Democratic-Republican,25,20711,2.83,12178,4.81,Democratic-Republican,25,6863,3.50,6855,3.51,Democratic-Republican,25,4320,3.81,Democratic-Republican,24,15371,3.01,Democratic-Republican-Crawford,24,38924,2.87,14784,7.14,Democrat,23,45682,2.32,22807,4.47,Democrat,23,53945,2.26,7172,16.39,Democrat,23,86394,2.27,-1120,-168.53,Democrat,17,95539,1.81,5819,28.72,Democrat,17,92004,1.89,-1474,-114.41,Democrat,15,132604,1.24,15140,10.58,Democrat,15,150223,1.40,29933,6.86,Democrat,15,166891,1.43,-156,-1485.57,Constitutional Union,,,,,,,,,,,,,11,185195,1.05,1816,107.11,Republican,11,236288,1.07,-45252,-5.55,Democrat,11,211616,1.30,-44550,-6.17,Democrat,12,284977,1.06,6135,49.07,Democrat,12,304087,1.12,-1605,-212.34,Republican,12,292238,1.12,51038,6.39,Democrat,12,294674,1.27,-19329,-19.36,Democrat,12,264208,1.42,-30310,-12.40,Democrat,12,130410,2.61,-32469,-10.50,Democrat,12,137065,2.70,-30374,-12.18,Democrat,12,136975,2.48,67044,5.07,Democrat,12,152025,2.76,53456,7.84,Democrat,12,231033,2.62,-54214,-11.16,Democrat,12,223602,2.94,-66404,-9.90,Democrat,12,305358,2.72,24463,34.00,Republican,11,297942,2.76,114342,7.20,Democrat,11,334590,2.83,136644,6.92,Democrat,11,346607,2.98,126598,8.17,Democrat,11,388485,2.56,97033,10.24,Democrat,11,419256,2.41,28716,35.20,Democrat,12,619689,2.25,80360,17.37,Republican,12,697978,2.01,118699,11.81,Republican,12,771449,1.99,42194,36.45,Republican,12,1042267,1.51,76704,20.54,Democrat,12,1361491,1.20,147932,11.04,Republican,12,1457019,1.19,549606,3.16,Republican,12,1697094,1.07,-22658,-80.26,Republican,12,1866032,1.03,237435,8.13,Republican,12,2146635,0.96,540828,3.82,Republican,12,2191609,0.93,449363,4.55,Republican,13,2558665,0.99,-111867,-22.56,Republican,13,2416642,0.96,-47290,-49.19,Republican,13,2739447,0.93,220200,11.57,Republican,13,3198367,0.92,262217,11.27,Republican,13,3723260,0.85,234527,13.53,Democrat,13,3854489,0.81,149298,20.89,Democrat,13,3984631,0.83,-212030,-15.58,Democrat,13,4460524,0.86,451138,8.48,Democrat
WA,Washington,West,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,87969,1.24,-6658,-16.33,Republican,4,93583,1.33,-14161,-8.81,Democrat,4,107524,1.16,12623,9.92,Republican,5,145151,0.98,73442,1.93,Republican,5,183879,0.84,47371,3.25,Republican,7,322799,0.61,-26858,-7.38,Progressive,7,380994,0.64,16180,15.10,Democrat,7,398715,0.88,138839,2.54,Republican,7,421549,0.91,69497,5.52,Republican,7,500840,0.97,179072,2.71,Republican,8,614814,0.97,144615,4.14,Democrat,8,692338,0.99,252687,2.72,Democrat,8,793833,0.95,140022,5.37,Democrat,8,856328,0.84,125085,5.78,Democrat,8,905059,0.81,89850,8.18,Democrat,9,1102708,0.95,106262,9.85,Republican,9,1150889,0.91,97428,10.79,Republican,9,1241572,0.93,29975,38.49,Republican,9,1258556,0.94,309515,3.82,Democrat,9,1304281,0.94,-27527,-44.48,Democrat,9,1470847,0.88,268801,4.84,Republican,9,1555534,0.88,-60409,-22.58,Republican,9,1742394,0.83,215051,6.73,Republican,10,1883910,0.91,244318,7.05,Republican,10,1865253,0.91,-29681,-57.36,Democrat,11,2287565,0.93,261803,8.16,Democrat,11,2253837,0.87,282611,6.97,Democrat,11,2487433,0.87,-138788,-15.53,Democrat,11,2859084,0.87,-205307,-12.18,Democrat,11,3036878,0.88,521632,5.15,Democrat,12,3125516,0.92,464726,6.20,Democrat,12,3317019,0.92,-520971,-5.85,Democrat,12,4087631,0.86,784961,4.50,Democrat
WV,West Virginia,South,Border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,34877,2.48,12721,6.80,Republican,5,49321,1.99,8709,11.17,Republican,5,62467,1.42,2788,31.71,Republican,5,99647,1.15,-14549,-7.84,Democrat,5,112713,1.11,-11148,-11.21,Democrat,6,132145,1.14,4215,35.71,Democrat,6,159440,1.07,-506,-336.77,Republican,6,171079,0.95,4175,39.06,Democrat,6,201757,0.93,10899,17.17,Republican,6,220796,0.85,21022,8.94,Republican,7,239986,0.83,31765,6.26,Republican,7,258105,0.84,26451,8.16,Republican,8,268828,0.84,34085,6.65,Democrat,8,289852,0.96,-2721,-102.64,Republican,8,509942,0.79,61218,6.59,Republican,8,583662,0.75,31403,13.96,Republican,8,642752,0.86,111767,4.96,Republican,8,743774,0.81,74393,8.05,Democrat,8,829945,0.83,177224,3.88,Democrat,8,868076,0.87,123248,6.10,Democrat,8,715596,1.01,69958,10.33,Democrat,8,748750,0.98,112937,6.51,Democrat,8,873548,1.07,-33608,-27.68,Democrat,8,830831,1.12,67763,13.79,Republican,8,837781,1.22,45791,22.39,Democrat,7,792040,1.16,284134,3.23,Democrat,7,754206,1.26,-66536,-14.31,Democrat,6,762399,1.14,207529,4.18,Republican,6,750674,1.21,121154,7.51,Democrat,6,737715,1.31,-33256,-29.01,Democrat,6,735742,1.40,77358,13.36,Republican,6,653311,1.56,-30951,-33.00,Democrat,5,683677,1.42,89027,10.90,Democrat,5,636459,1.41,93866,9.53,Democrat,5,648124,1.51,40978,23.91,Republican,5,755887,1.50,97237,11.69,Republican,5,713451,1.71,-93609,-13.04,Republican,5,670438,1.79,-179386,-6.69,Republican,5,714423,1.78,300577,4.23,Republican,5,794731,1.85,-309398,-4.76,Republican
WI,Wisconsin,Midwest,Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,39166,1.05,-1254,-31.64,Democrat,5,64682,0.85,11448,4.66,Democrat,5,119512,0.59,-13247,-5.17,Whig,5,152179,0.52,21092,3.66,Republican,8,149342,0.93,17574,7.88,Republican,8,193603,0.81,24197,6.44,Republican,10,192305,0.92,18517,9.55,Republican,10,257177,0.89,6141,37.15,Republican,10,267195,0.94,29751,8.40,Republican,11,319835,0.86,-14682,-18.80,Republican,11,354614,0.88,21321,14.65,Democrat,12,371581,0.88,6224,52.40,Democrat,12,447409,0.84,102612,3.65,Republican,12,442501,0.85,106597,3.53,Republican,13,443441,0.83,156110,2.37,Republican,13,454441,0.88,81085,4.94,Republican,13,399966,0.92,33634,10.95,Democrat,13,447134,1.01,-29459,-15.40,Republican,13,701280,0.93,385154,1.70,Republican,13,840826,0.85,-142064,-5.01,Progressive,13,1016831,0.89,93946,9.59,Republican,12,1114808,0.81,359669,2.50,Democrat,12,1258560,0.82,422156,2.44,Democrat,12,1405522,0.80,25615,44.03,Democrat,12,1339152,0.81,-24119,-44.95,Republican,12,1276800,0.86,56351,19.57,Democrat,12,1607370,0.87,357569,3.90,Republican,12,1550558,0.90,368076,3.81,Republican,12,1729082,0.89,64370,23.90,Republican,12,1691815,0.93,411929,3.82,Democrat,12,1691538,0.97,61193,26.68,Republican,11,1852890,0.86,179256,8.87,Republican,11,2101336,0.79,35245,47.30,Democrat,11,2273221,0.78,107261,16.49,Republican,11,2212016,0.86,202953,9.33,Republican,11,2191608,0.85,-79295,-23.62,Democrat,11,2531114,0.84,110211,19.37,Democrat,11,2196169,0.90,226942,8.67,Democrat,11,2598607,0.83,-5708,-377.56,Democrat,10,2997007,0.76,-11384,-199.68,Democrat,10,2983417,0.82,414818,5.88,Democrat,10,3068434,0.78,213019,11.26,Democrat,10,2976150,0.85,22748,111.67,Republican,10,3298041,0.89,20682,142.34,Democrat
WY,Wyoming,West,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16735,4.87,-732,-111.39,Republican,3,21092,4.44,-789,-118.57,Democrat,3,24687,3.81,4318,21.76,Republican,3,30708,2.78,11559,7.37,Republican,3,37609,2.46,5928,15.60,Republican,3,42296,2.01,750,113.33,Democrat,3,51840,2.02,6618,15.82,Democrat,3,54700,2.76,17662,8.56,Republican,3,79900,2.06,16684,9.85,Republican,3,82835,2.51,23449,8.87,Republican,3,96962,2.32,14787,15.19,Democrat,3,103382,2.49,23885,10.80,Democrat,3,112240,2.51,6654,42.37,Democrat,3,101340,2.67,-2502,-108.34,Republican,3,101425,2.72,4407,62.55,Democrat,3,129251,2.70,33113,10.54,Republican,3,124127,2.82,25019,14.01,Republican,3,140782,2.73,14120,27.23,Republican,3,142716,2.76,18720,21.04,Democrat,3,127205,3.21,25754,15.85,Republican,3,145570,2.98,56106,7.73,Republican,3,156343,2.91,-30478,-14.92,Republican,3,176713,2.73,61273,7.87,Republican,3,188968,2.73,79871,6.47,Republican,3,176551,2.89,39754,12.85,Republican,3,199884,2.91,-11187,-52.05,Republican,3,211571,2.54,-27454,-19.55,Republican,3,218351,2.69,87466,6.72,Republican,3,243428,2.80,96853,7.04,Republican,3,254658,2.88,-82090,-8.92,Republican,3,249061,2.89,-101676,-7.08,Republican,3,255849,2.98,118446,6.43,Republican,3,276765,3.19,-120068,-7.36,Republican
US,United States,,,123,144080,1171.38,,,Democratic-Republican,175,191459,1858.83,,,Democratic-Republican,217,267028,2342.35,,,Democratic-Republican,217,111489,961.11,,,Democratic-Republican,170,106698,658.63,Democratic-Republican,261,365928,1925.94,Democratic-Republican-Adams,261,1148018,4647.85,141656,8.10,Democrat,277,1276659,4608.88,228628,5.58,Democrat,283,1502811,5310.29,213384,7.04,Democrat,283,2412694,8525.42,145938,16.53,Whig,266,2703864,10164.90,39413,68.60,Democrat,281,2876818,10237.79,125763,22.87,Whig,288,3159640,10970.97,218520,14.46,Democrat,288,4051605,14068.07,494472,8.19,Democrat,295,4681335,15868.93,333966,14.02,Republican,233,4031887,17304.24,405581,9.94,Republican,291,5722440,19664.74,304810,18.77,Republican,366,6471983,17683.01,763729,8.47,Republican,366,8418659,23001.80,-252666,-33.32,Republican,369,9219477,24985.03,9457,974.88,Republican,401,10060145,25087.64,57579,174.72,Democrat,401,11388846,28401.11,-94530,-120.48,Republican,444,12068027,27180.24,363099,33.24,Democrat,447,13938674,31182.72,601331,23.18,Republican,447,13997429,31314.16,857932,16.32,Republican,476,13525095,28414.07,2546677,5.31,Republican,483,14889239,30826.58,1269356,11.73,Republican,531,15044278,28331.97,2173563,6.92,Democrat,531,18536585,34908.82,578140,32.06,Democrat,531,26765180,50405.24,7004432,3.82,Republican,531,29097107,54796.81,7337547,3.97,Republican,531,36807012,69316.41,6411659,5.74,Republican,531,39751898,74862.33,7060023,5.63,Democrat,531,45647699,85965.53,11070786,4.12,Democrat,531,49902113,93977.61,4966201,10.05,Democrat,531,47977063,90352.28,3594987,13.35,Democrat,531,48793535,91889.90,2188055,22.30,Democrat,531,61751942,116293.68,6700439,9.22,Republican,531,62021328,116800.99,9551152,6.49,Republican,537,68832482,128179.67,112827,610.07,Democrat,538,70639284,131299.78,15951287,4.43,Democrat,538,73199998,136059.48,511944,142.98,Republican,538,77744027,144505.63,17995488,4.32,Republican,538,81531584,151545.70,1683247,48.44,Democrat,538,86509678,160798.66,8423115,10.27,Republican,538,92653233,172217.91,16878120,5.49,Republican,538,91594686,170250.35,7077121,12.94,Republican,538,104423923,194096.51,5805256,17.99,Democrat,538,96275401,178950.56,8201370,11.74,Democrat,538,105405100,195920.26,543895,193.80,Republican,538,122294846,227313.84,3012166,40.60,Republican,538,131313820,244077.73,9550193,13.75,Democrat,538,129085410,239935.71,4982291,25.91,Democrat,538,136669276,254032.11,-2868686,-47.64,Republican,538,158381538,294389.48,7052120,22.46,Democrat