Year,EC votes,EC votes from pop vote,Votes counted,Pop vote per EC vote,Most EC votes,Total population,Votes counted as % of total population,State count,States using popular vote
1788,138,34,43782,864,20,3683439,1.19,10,6
1792,132,45,28579,635,21,4172906,0.68,15,6
1796,139,72,66841,827,21,4706570,1.42,16,9
1800,138,47,67282,1596,21,5308483,1.27,16,6
1804,176,123,144080,1171,24,6010005,2.40,17,11
1808,175,103,192691,1859,24,6804234,2.83,17,10
1812,217,114,278786,2342,29,7666314,3.64,18,8
1816,217,116,112370,961,29,8596011,1.31,19,10
1820,235,162,108359,659,29,9638453,1.12,24,15
1824,261,190,365928,1926,36,10818875,3.38,24,18
1828,261,247,1148018,4648,36,12143863,9.45,24,22
1832,288,277,1276659,4609,42,13614425,9.38,24,23
1836,294,283,1502811,5310,42,15244369,9.86,26,25
1840,294,283,2412694,8525,42,17069453,14.13,26,25
1844,275,266,2703864,10165,36,19295948,14.01,26,25
1848,290,281,2876818,10238,36,21812861,13.19,30,29
1852,296,288,3159640,10971,35,24647586,12.82,31,30
1856,296,288,4051605,14068,35,27838857,14.55,31,30
1860,303,295,4681335,15869,35,31443321,14.89,33,32
1864,233,233,4031887,17304,33,34116504,11.82,25,25
1868,294,291,5722440,19665,33,37016949,15.46,34,33
1872,366,366,6471983,17683,35,40645925,15.92,37,37
1876,369,366,8418659,23002,35,45166214,18.64,38,37
1880,369,369,9219477,24985,35,50189209,18.37,38,38
1884,401,401,10060145,25088,36,54959988,18.30,38,38
1888,401,401,11388846,28401,36,60184258,18.92,38,38
1892,444,444,12068027,27180,36,65408007,18.45,44,44
1896,447,447,13938674,31183,36,70548968,19.76,45,45
1900,447,447,13997429,31314,36,76212168,18.37,45,45
1904,476,476,13525095,28414,39,82165000,16.46,45,45
1908,483,483,14889239,30827,39,88709000,16.78,46,46
1912,531,531,15044278,28332,45,95331000,15.78,48,48
1916,531,531,18536585,34909,45,101966000,18.18,48,48
1920,531,531,26765180,50405,45,106021537,25.25,48,48
1924,531,531,29097107,54797,45,114113000,25.50,48,48
1928,531,531,36807012,69316,45,120501000,30.54,48,48
1932,531,531,39751898,74862,47,124840000,31.84,48,48
1936,531,531,45647699,85966,47,128053000,35.65,48,48
1940,531,531,49902113,93978,47,132164569,37.76,48,48
1944,531,531,47977063,90352,47,132885000,36.10,48,48
1948,531,531,48793535,91890,47,146093000,33.40,48,48
1952,531,531,61751942,116294,45,156393000,39.49,48,48
1956,531,531,62021328,116801,45,168088000,36.90,48,48
1960,537,537,68832482,128180,45,179323175,38.38,50,50
1964,538,538,70639284,131300,43,191085000,36.97,51,51
1968,538,538,73199998,136059,43,199312000,36.73,51,51
1972,538,538,77744027,144506,45,209283905,37.15,51,51
1976,538,538,81531584,151546,45,217562735,37.47,51,51
1980,538,538,86509678,160799,45,226656805,38.17,51,51
1984,538,538,92653233,172218,47,235824902,39.29,51,51
1988,538,538,91594686,170250,47,244498982,37.46,51,51
1992,538,538,104423923,194097,54,255029699,40.95,51,51
1996,538,538,96275401,178951,54,265228572,36.30,51,51
2000,538,538,105405100,195920,54,281421906,37.45,51,51
2004,538,538,122294846,227314,55,293655404,41.65,51,51
2008,538,538,131313820,244078,55,304059724,43.19,51,51
2012,538,538,129085410,239936,55,313914040,41.12,51,51
2016,538,538,136669276,254032,55,323127513,42.30,51,51
2020,538,538,158381538,294389,55,329880000,48.01,51,51